"filename", "language", "YAML", "JSON", "Markdown", "TypeScript JSX", "TypeScript", "XML", "Prisma", "PostCSS", "comment", "blank", "total"
"d:\Информатика\online-shop\front-end\src\app\[locale]\(user)\orders\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 0, 8, 56
"d:\Информатика\online-shop\front-end\src\app\[locale]\(user)\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"d:\Информатика\online-shop\front-end\src\app\[locale]\(user)\page.tsx", "TypeScript JSX", 0, 0, 0, 103, 0, 0, 0, 0, 0, 16, 119
"d:\Информатика\online-shop\front-end\src\app\[locale]\(user)\products\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 131, 0, 0, 0, 0, 0, 20, 151
"d:\Информатика\online-shop\front-end\src\app\[locale]\(user)\search\page.tsx", "TypeScript JSX", 0, 0, 0, 129, 0, 0, 0, 0, 0, 11, 140
"d:\Информатика\online-shop\front-end\src\app\[locale]\auth\layout.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\Информатика\online-shop\front-end\src\app\[locale]\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\Информатика\online-shop\front-end\src\app\[locale]\auth\new-password\page.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\Информатика\online-shop\front-end\src\app\[locale]\auth\new-verification\page.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\Информатика\online-shop\front-end\src\app\[locale]\auth\register\page.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\Информатика\online-shop\front-end\src\app\[locale]\auth\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\Информатика\online-shop\front-end\src\app\[locale]\coming-soon\layout.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\Информатика\online-shop\front-end\src\app\[locale]\coming-soon\page.tsx", "TypeScript JSX", 0, 0, 0, 152, 0, 0, 0, 0, 0, 12, 164
"d:\Информатика\online-shop\front-end\src\app\[locale]\layout.tsx", "TypeScript JSX", 0, 0, 0, 100, 0, 0, 0, 0, 0, 10, 110
"d:\Информатика\online-shop\front-end\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"d:\Информатика\online-shop\front-end\src\entities\analytics\api\analyticsApi.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"d:\Информатика\online-shop\front-end\src\entities\analytics\index.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
